MEMBER_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,MEMBER_AGE,MEMBER_LANGUAGE,MEMBER_SEX,RACE_DESC
95822,Noelle,Mertz,947-660-1665,45,ENG,M,White
30593,Loyd,Runolfsdottir,313-445-9176,40,ENG,F,Black or African American
68380,Catherina,Little,947-481-6488,49,,F,N/A
50958,Roxanne,Pacocha,586-312-1875,22,,F,Asian
52659,Robby,Becker,947-169-6872,14,ENG,M,N/A
36805,Onita,Ratke,248-886-4014,19,,F,White
40824,Jesus,Reynolds,906-419-8582,11,ENG,F,White
63976,Irwin,Oberbrunner,586-825-7493,24,,F,N/A
13542,Angelena,Stanton,517-144-8618,13,ENG,F,White
12053,Bernard,Denesik,616-146-5604,45,ENG,M,White
91381,Lavette,Rosenbaum,586-415-4465,34,ENG,M,White
24487,Joana,Christiansen,517-192-7838,36,ENG,F,White
44770,Darrick,Robel,734-520-1675,30,,M,N/A
75445,Jim,Koelpin,947-345-3793,40,,F,N/A
81871,Maybell,Zboncak,989-512-1078,27,,F,N/A
95200,Johnie,Bashirian,231-109-2910,26,,M,White
54797,Rosana,Kiehn,231-791-8558,7,ENG,M,N/A
14078,Linwood,Bernier,810-775-5687,0,,M,N/A
31558,Nickole,West,313-121-8388,9,,F,N/A
31162,Lamont,Cole,313-291-9372,24,ENG,F,Black or African American
42501,Jeromy,Barton,810-869-5777,3,,M,N/A
07218,Patty,Stroman,269-868-6121,28,,M,N/A
55018,Josefina,Turcotte,586-733-6046,37,,M,N/A
80592,Constance,Lubowitz,586-439-2161,18,,M,N/A
32001,Elsie,Greenholt,313-966-8978,23,ENG,F,White
88223,Annett,Ondricka,586-850-5664,7,,F,N/A
02705,Numbers,Rutherford,586-611-4975,12,,M,Asian
35835,Kendrick,Torphy,231-607-6426,38,ENG,M,White
42648,Sherry,Zieme,517-520-7205,10,,M,N/A
36124,Milo,Koss,269-485-1241,4,ENG,M,White
12981,Margart,Senger,906-323-5998,33,,F,N/A
37413,Fred,Gibson,313-480-9482,6,ENG,F,Black or African American
00530,Jerilyn,Waters,906-710-4025,15,ENG,M,White
32633,Elidia,Connelly,313-208-1615,16,ENG,M,American Indian or Alaska Native
83590,Lance,Sporer,616-482-9769,24,ENG,F,White
69514,Sergio,VonRueden,734-850-1410,2,ENG,M,Black or African American
28549,Johnie,Smitham,947-546-2637,34,ENG,F,Black or African American
58739,Desire,Steuber,810-625-7070,20,ENG,M,White
32796,Hipolito,Bailey,734-782-5771,20,ENG,F,White
61669,Alphonse,Keeling,734-372-3707,49,,F,N/A
85333,Chloe,Collins,231-855-2414,28,ENG,M,White
60897,Merlin,Mueller,269-961-8976,14,,M,N/A
69873,Aldo,Raynor,231-302-3904,24,,F,N/A
53996,Tabetha,Simonis,947-286-9948,28,ENG,F,White
06330,Porter,Labadie,248-488-1765,0,,F,N/A
81170,Azucena,Bradtke,586-816-9834,24,,M,Hispanic or Latino
69714,Rogelio,Cruickshank,248-184-4660,31,ENG,F,White
33484,Rebbecca,Gleason,947-212-9757,24,,F,White
57190,Titus,Becker,248-178-1688,27,,F,N/A
03772,Nettie,Pollich,947-142-5965,4,,F,N/A
